tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
100,Spring,100,502.6,14.9,137.69,0.834,0.0,0.0,0.271,0.0,0.0,0.075,0.0,1.0,0.97,0.011,0.011,5,15,14,42,0,0,65.0
200,Spring,200,603.4,78.0,10.97,0.0,0.88,0.0,0.108,0.0,0.0,0.0,0.035,0.91,0.06,0.01,0.002,20,3,41,25,1,1,74.95
300,Spring,300,691.5,148.64,100.0,0.0,0.0,0.0,0.0,0.379,0.5,0.0,0.0,0.52,0.0,0.001,0.0,33,0,61,1,2,6,75.07
400,Spring,400,794.6,100.0,94.5,0.0,0.052,0.0,0.362,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0,2,30,8,3,9,79.21
500,Summer,0,887.6,64.52,121.72,0.34,0.0,0.0,0.254,0.0,0.162,0.0,0.0,1.0,0.11,0.011,0.001,22,7,56,18,3,11,75.01
600,Summer,100,1079.6,137.88,93.19,0.0,0.0,0.074,0.469,0.0,0.0,0.0,0.0,0.55,0.06,0.005,0.005,24,6,56,12,4,14,62.29
700,Summer,200,1271.1,3.4,95.22,0.951,0.0,0.0,0.521,0.0,0.0,0.142,0.0,1.0,0.0,0.006,0.005,28,24,55,26,4,14,60.14
800,Summer,300,1454.0,85.14,104.86,0.0,0.0,0.0,0.418,0.0,0.0,0.0,0.0,0.97,0.05,0.015,0.01,36,17,57,37,5,15,72.14
900,Summer,400,1633.1,131.09,80.23,0.0,0.0,0.19,0.604,0.0,0.0,0.0,0.0,0.4,0.0,0.013,0.015,13,40,34,56,6,15,57.01
1000,Autumn,0,1804.9,10.28,78.1,0.803,0.0,0.064,0.728,0.0,0.0,0.115,0.0,1.0,0.0,0.014,0.014,20,62,34,78,6,15,49.77
1100,Autumn,100,1843.1,53.57,88.17,0.446,0.0,0.26,0.799,0.0,0.0,0.0,0.0,0.92,0.0,0.033,0.037,14,83,25,100,7,15,44.55
1200,Autumn,200,1873.8,150.0,78.13,0.0,0.068,0.463,0.898,0.0,0.0,0.0,0.0,0.29,0.0,0.023,0.031,21,104,32,121,8,15,38.12
1300,Autumn,300,1909.0,92.24,108.87,0.119,0.0,0.523,0.982,0.0,0.0,0.0,0.0,1.0,0.0,0.068,0.072,35,124,41,141,8,15,29.97
1400,Autumn,400,1943.0,150.0,94.92,0.0,0.0,0.764,0.997,0.0,0.0,0.0,0.0,1.0,0.0,0.163,0.165,69,143,68,160,8,15,20.52
1500,Winter,0,1958.6,140.64,88.25,0.0,0.0,0.727,0.998,0.0,0.0,0.0,0.0,0.14,0.0,0.557,0.554,100,165,96,182,8,15,25.0
1600,Winter,100,1900.0,142.33,77.87,0.0,0.0,0.799,0.997,0.0,0.0,0.0,0.0,0.57,0.0,0.39,0.39,143,186,124,203,8,15,17.46
1700,Winter,200,1832.2,149.58,104.73,0.0,0.0,0.969,0.998,0.0,0.0,0.0,0.0,0.98,0.0,0.477,0.482,189,208,163,225,8,15,11.18
1800,Winter,300,1783.8,71.81,85.73,0.137,0.178,0.504,0.923,0.0,0.0,0.0,0.0,1.0,0.01,0.297,0.296,202,230,169,246,8,15,38.59
1900,Winter,400,1735.1,129.1,87.63,0.0,0.0,0.472,0.945,0.0,0.0,0.0,0.0,0.57,0.0,0.037,0.144,13,252,96,268,9,15,36.62
2000,Spring,0,1695.2,78.77,86.57,0.2,0.045,0.456,0.895,0.0,0.0,0.0,0.0,0.4,0.0,0.021,0.078,4,275,49,291,10,15,39.36
2100,Spring,100,1784.2,95.41,94.7,0.029,0.248,0.446,0.887,0.0,0.0,0.0,0.0,1.0,0.01,0.076,0.096,25,299,74,310,10,15,37.7
2200,Spring,200,1860.4,80.16,78.14,0.157,0.239,0.272,0.659,0.0,0.0,0.0,0.0,0.29,0.01,0.013,0.052,4,338,44,339,11,15,53.04
2300,Spring,300,1940.1,102.44,108.74,0.0,0.119,0.271,0.708,0.0,0.0,0.0,0.0,0.37,0.01,0.015,0.033,7,358,35,358,12,15,50.6
2400,Spring,400,2018.6,6.7,101.9,0.916,0.0,0.024,0.819,0.0,0.0,0.111,0.0,1.0,0.04,0.012,0.019,16,382,37,380,12,15,41.44
2500,Summer,0,2098.4,82.22,84.02,0.187,0.054,0.238,0.743,0.0,0.0,0.0,0.0,0.9,0.0,0.037,0.043,23,404,37,393,13,15,50.25
2600,Summer,100,2248.4,148.85,147.12,0.0,0.0,0.473,0.645,0.0,0.0,0.0,0.0,0.35,0.87,0.027,0.04,19,457,35,409,14,15,39.36
2700,Summer,200,2392.5,126.8,111.63,0.0,0.0,0.597,0.962,0.0,0.0,0.0,0.0,1.0,0.38,0.105,0.11,44,504,46,414,14,15,27.2
2800,Summer,300,2516.7,112.92,148.8,0.0,0.0,0.212,0.476,0.0,0.0,0.0,0.0,1.0,0.49,0.098,0.1,74,552,56,449,14,15,54.12
2900,Summer,400,2638.9,108.72,98.69,0.0,0.0,0.314,0.673,0.302,0.0,0.0,0.0,0.1,0.0,0.004,0.044,4,569,28,459,15,15,53.81
3000,Autumn,0,2748.4,100.0,106.8,0.0,0.125,0.0,0.486,0.5,0.0,0.0,0.0,0.0,0.01,0.0,0.021,0,588,14,478,16,15,67.48
3100,Autumn,100,2754.1,46.6,88.36,0.509,0.032,0.053,0.597,0.0,0.0,0.0,0.0,1.0,0.0,0.019,0.027,26,606,37,491,16,15,59.55
3200,Autumn,200,2772.3,20.13,77.92,0.782,0.07,0.08,0.679,0.0,0.0,0.054,0.0,0.75,0.0,0.007,0.015,4,630,25,499,17,15,52.77
3300,Autumn,300,2730.5,146.51,91.23,0.0,0.0,0.557,0.975,0.0,0.0,0.0,0.0,0.85,0.0,0.089,0.092,59,684,71,518,18,15,30.89
3400,Autumn,400,2739.0,96.64,150.0,0.0,0.0,0.588,0.727,0.0,0.0,0.0,0.0,1.0,0.29,0.089,0.091,73,726,75,523,18,15,24.6
3500,Winter,0,2720.2,147.43,141.0,0.0,0.0,0.835,0.994,0.0,0.0,0.0,0.0,0.98,0.0,0.413,0.41,119,777,111,532,18,15,15.03
3600,Winter,100,2647.8,150.0,110.11,0.0,0.136,0.8,0.982,0.0,0.0,0.0,0.0,0.46,0.01,0.325,0.323,138,795,130,543,18,15,17.09
3700,Winter,200,2566.4,138.62,90.2,0.0,0.0,0.994,0.999,0.0,0.0,0.0,0.0,0.05,0.0,0.703,0.709,165,816,156,557,18,15,10.2
3800,Winter,300,2484.0,100.45,128.34,0.0,0.0,0.304,0.589,0.0,0.0,0.0,0.0,0.83,0.73,0.357,0.358,193,882,170,566,18,15,50.57
3900,Winter,400,2431.0,87.06,76.34,0.1,0.109,0.352,0.697,0.26,0.0,0.0,0.0,0.11,0.01,0.004,0.144,1,898,86,579,19,15,52.39
