tick,season,season_tick,total_food,agent_a_energy,agent_b_energy,agent_a_hunger,agent_b_hunger,agent_a_fear,agent_b_fear,agent_a_curiosity,agent_b_curiosity,agent_a_stress,agent_b_stress,agent_a_fatigue,agent_b_fatigue,agent_a_social,agent_b_social,agent_a_food_eaten,agent_b_food_eaten,agent_a_pathways,agent_b_pathways,agent_a_generation,agent_b_generation,distance
100,Spring,100,507.7,87.51,64.76,0.0,0.335,0.241,0.019,0.0,0.0,0.0,0.0,1.0,1.0,0.018,0.018,8,10,19,26,0,0,64.82
200,Spring,200,602.7,31.53,149.03,0.674,0.0,0.273,0.047,0.0,0.0,0.01,0.0,0.09,0.48,0.007,0.007,11,27,23,56,1,1,66.53
300,Spring,300,702.7,114.75,99.0,0.0,0.0,0.164,0.096,0.468,0.449,0.0,0.0,0.09,0.01,-0.002,0.0,4,0,19,27,3,2,77.23
400,Spring,400,800.1,31.59,75.22,0.704,0.231,0.263,0.0,0.0,0.0,0.009,0.0,0.06,1.0,0.002,0.008,1,30,10,58,5,2,69.03
500,Summer,0,890.1,95.23,112.74,0.0,0.0,0.673,0.233,0.0,0.0,0.0,0.0,0.0,0.55,0.014,0.017,16,16,23,45,6,3,53.24
600,Summer,100,1085.2,136.11,38.26,0.0,0.447,0.326,0.062,0.0,0.0,0.0,0.032,0.42,1.0,0.003,0.017,17,23,35,47,7,3,62.63
700,Summer,200,1267.1,81.69,119.97,0.053,0.0,0.527,0.057,0.0,0.0,0.0,0.0,0.0,0.73,0.01,0.011,10,41,26,60,8,4,63.64
800,Summer,300,1448.3,69.62,23.35,0.077,0.751,0.587,0.024,0.0,0.0,0.0,0.092,0.0,1.0,0.009,0.009,30,46,45,61,8,4,58.8
900,Summer,400,1622.9,108.37,92.02,0.0,0.047,0.559,0.106,0.0,0.0,0.0,0.0,0.0,0.84,0.024,0.023,53,25,65,43,8,5,61.29
1000,Autumn,0,1791.1,84.38,142.54,0.0,0.0,0.671,0.272,0.0,0.0,0.0,0.0,0.0,0.25,0.018,0.01,75,14,85,33,8,6,53.74
1100,Autumn,100,1828.7,93.95,16.49,0.0,0.759,0.746,0.097,0.0,0.0,0.0,0.108,0.0,1.0,0.017,0.013,96,19,106,35,8,6,49.2
1200,Autumn,200,1863.5,74.9,95.13,0.097,0.016,0.808,0.331,0.0,0.0,0.0,0.0,0.0,0.75,0.035,0.033,119,14,128,23,8,7,46.07
1300,Autumn,300,1900.1,86.49,48.04,0.036,0.293,0.848,0.344,0.0,0.0,0.0,0.0,0.0,1.0,0.045,0.044,141,29,150,28,8,7,41.73
1400,Autumn,400,1929.2,83.37,75.53,0.088,0.128,0.664,0.198,0.0,0.0,0.0,0.005,0.0,1.0,0.039,0.039,163,40,167,36,8,7,56.8
1500,Winter,0,1962.7,135.76,119.08,0.0,0.0,0.416,0.11,0.0,0.0,0.0,0.0,0.46,0.51,0.027,0.017,196,15,181,37,8,8,60.96
1600,Winter,100,1918.9,106.86,68.89,0.0,0.012,0.601,0.297,0.0,0.0,0.0,0.005,0.47,1.0,0.025,0.021,215,25,188,43,8,8,47.38
1700,Winter,200,1873.1,86.42,50.19,0.0,0.474,0.572,0.093,0.0,0.0,0.0,0.007,0.01,1.0,0.025,0.023,239,34,205,48,8,8,58.0
1800,Winter,300,1824.2,129.76,93.41,0.0,0.098,0.612,0.268,0.0,0.0,0.0,0.038,0.42,1.0,0.026,0.026,271,48,220,57,8,8,50.54
1900,Winter,400,1779.7,84.57,46.54,0.0,0.511,0.389,0.108,0.0,0.0,0.0,0.035,0.28,1.0,0.034,0.034,287,59,231,63,8,8,59.03
2000,Spring,0,1739.8,92.92,40.71,0.019,0.576,0.717,0.128,0.0,0.0,0.0,0.054,0.0,1.0,0.008,0.02,6,71,122,72,9,8,53.85
2100,Spring,100,1823.6,111.27,145.95,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.0,0.24,0.52,0.006,0.007,9,33,75,73,10,9,71.45
2200,Spring,200,1927.7,83.8,11.18,0.159,0.83,0.52,0.0,0.0,0.0,0.0,0.144,0.0,1.0,-0.001,-0.001,0,36,9,73,13,9,71.7
2300,Spring,300,2009.6,84.82,85.37,0.0,0.0,0.531,0.052,0.0,0.0,0.0,0.0,0.0,0.93,0.017,0.017,23,21,26,62,14,10,63.53
2400,Spring,400,2075.9,69.77,139.0,0.266,0.0,0.588,0.18,0.0,0.0,0.0,0.0,0.01,0.42,0.018,0.012,45,25,47,54,14,11,58.9
2500,Summer,0,2167.1,88.2,10.01,0.0,0.885,0.427,0.0,0.0,0.0,0.002,0.093,0.05,1.0,0.001,0.009,14,30,44,52,15,11,65.8
2600,Summer,100,2328.7,80.94,92.01,0.036,0.0,0.604,0.145,0.0,0.0,0.005,0.0,0.0,0.93,0.018,0.018,35,24,61,39,15,12,57.31
2700,Summer,200,2466.9,99.28,77.18,0.136,0.0,0.715,0.259,0.0,0.0,0.004,0.0,0.01,1.0,0.027,0.027,58,32,81,42,15,12,52.84
2800,Summer,300,2597.7,94.98,91.5,0.0,0.0,0.791,0.359,0.0,0.0,0.004,0.0,0.0,1.0,0.033,0.033,79,40,100,48,15,12,42.49
2900,Summer,400,2712.3,92.76,143.76,0.0,0.0,0.992,0.527,0.0,0.0,0.004,0.0,0.0,1.0,0.085,0.085,97,71,117,57,15,12,33.42
3000,Autumn,0,2805.8,100.75,150.0,0.25,0.0,0.939,0.543,0.0,0.0,0.003,0.0,0.01,1.0,0.12,0.12,116,113,135,78,15,12,33.06
3100,Autumn,100,2789.2,110.41,150.0,0.071,0.0,0.994,0.836,0.0,0.0,0.003,0.0,0.01,1.0,0.225,0.227,135,164,154,112,15,12,14.32
3200,Autumn,200,2789.3,107.43,138.87,0.0,0.0,0.999,0.726,0.0,0.0,0.003,0.0,0.0,1.0,0.246,0.246,151,199,170,134,15,12,20.62
3300,Autumn,300,2790.9,89.21,93.24,0.0,0.0,0.965,0.49,0.0,0.0,0.002,0.0,0.0,1.0,0.186,0.185,168,221,187,138,15,12,35.34
3400,Autumn,400,2796.5,93.87,123.86,0.0,0.0,0.998,0.61,0.0,0.0,0.002,0.0,0.0,1.0,0.196,0.197,188,250,206,152,15,12,28.32
3500,Winter,0,2798.8,90.85,141.0,0.0,0.0,0.999,0.774,0.0,0.0,0.002,0.0,0.0,0.8,0.242,0.243,206,278,224,156,15,12,19.42
3600,Winter,100,2685.0,111.91,149.16,0.0,0.0,0.998,0.809,0.0,0.0,0.002,0.0,0.0,0.66,0.329,0.328,227,335,243,211,15,12,18.44
3700,Winter,200,2601.1,111.06,134.96,0.112,0.0,0.988,0.722,0.0,0.0,0.002,0.0,0.01,0.4,0.382,0.381,246,371,260,245,15,12,24.41
3800,Winter,300,2533.4,146.37,76.59,0.0,0.062,0.429,0.248,0.0,0.0,0.001,0.0,0.44,1.0,0.185,0.184,286,391,272,245,15,12,52.2
3900,Winter,400,2465.0,92.89,25.18,0.0,0.724,0.607,0.009,0.0,0.0,0.001,0.023,0.0,1.0,0.085,0.084,304,403,288,246,15,12,59.62
4000,Spring,0,2410.9,86.58,51.98,0.0,0.43,0.838,0.297,0.0,0.0,0.001,0.0,0.0,0.89,0.06,0.03,324,8,308,127,15,13,44.2
4100,Spring,100,2472.9,145.99,150.0,0.0,0.0,0.519,0.472,0.0,0.0,0.001,0.0,0.5,0.5,0.077,0.058,357,13,325,75,15,14,39.2
4200,Spring,200,2533.6,63.72,148.6,0.352,0.0,0.871,0.737,0.0,0.0,0.001,0.0,0.12,1.0,0.252,0.246,383,49,335,107,15,14,22.8
4300,Spring,300,2580.2,95.47,130.8,0.067,0.0,0.992,0.584,0.0,0.0,0.001,0.0,0.01,1.0,0.187,0.185,401,93,347,137,15,14,28.65
4400,Spring,400,2621.6,107.38,128.13,0.0,0.0,0.998,0.792,0.0,0.0,0.001,0.0,0.0,0.95,0.221,0.221,419,125,360,154,15,14,17.0
4500,Summer,0,2673.9,93.9,121.5,0.0,0.0,0.998,0.996,0.0,0.0,0.001,0.0,0.0,0.0,1.0,1.0,436,128,377,156,15,14,6.32
4600,Summer,100,2767.7,91.25,148.38,0.0,0.0,0.999,0.846,0.0,0.0,0.001,0.0,0.0,0.0,0.729,0.728,457,159,393,169,15,14,17.69
4700,Summer,200,2844.6,110.0,149.19,0.0,0.0,0.999,0.813,0.0,0.0,0.001,0.0,0.0,0.86,0.447,0.448,477,220,402,175,15,14,17.09
4800,Summer,300,2876.2,101.41,150.0,0.236,0.0,0.948,0.948,0.0,0.0,0.001,0.0,0.01,0.98,0.507,0.509,497,277,421,216,15,14,14.14
4900,Summer,400,2912.1,84.49,149.19,0.0,0.0,0.999,0.96,0.0,0.0,0.001,0.0,0.02,0.55,0.635,0.639,516,318,436,254,15,14,13.0
5000,Autumn,0,2965.6,100.11,149.13,0.0,0.0,0.999,0.914,0.0,0.0,0.001,0.0,0.0,0.07,0.585,0.583,538,335,449,260,15,14,15.03
5100,Autumn,100,2943.9,121.13,150.0,0.0,0.0,0.914,0.777,0.0,0.0,0.0,0.0,0.08,0.29,0.569,0.568,570,402,462,271,15,14,25.0
5200,Autumn,200,2900.5,146.26,80.73,0.0,0.189,0.627,0.951,0.0,0.0,0.0,0.0,1.0,0.27,0.349,0.348,655,448,476,273,15,14,28.65
5300,Autumn,300,2855.7,149.26,146.7,0.0,0.0,0.953,0.973,0.0,0.0,0.0,0.0,1.0,0.09,0.355,0.359,715,502,498,314,15,14,14.76
5400,Autumn,400,2830.1,150.0,116.94,0.0,0.11,0.513,0.956,0.0,0.0,0.0,0.0,1.0,0.01,0.393,0.389,775,517,501,329,15,14,34.53
5500,Winter,0,2780.3,150.0,109.76,0.0,0.0,0.758,0.999,0.0,0.0,0.0,0.0,1.0,0.0,0.371,0.367,837,534,534,346,15,14,21.26
5600,Winter,100,2665.6,119.14,94.92,0.0,0.0,0.954,0.999,0.0,0.0,0.0,0.0,0.93,0.0,0.385,0.393,891,551,582,363,15,14,7.07
5700,Winter,200,2590.1,121.27,83.08,0.0,0.031,0.949,0.998,0.0,0.0,0.0,0.0,0.28,0.0,0.884,0.883,904,569,594,381,15,14,12.21
5800,Winter,300,2526.3,95.83,109.38,0.028,0.102,0.999,0.989,0.0,0.0,0.0,0.0,0.01,0.01,1.0,0.998,905,589,593,401,15,14,10.2
5900,Winter,400,2453.7,150.0,97.06,0.0,0.0,0.298,0.76,0.0,0.0,0.0,0.0,0.83,0.0,0.54,0.535,938,608,602,420,15,14,51.62
6000,Spring,0,2392.2,130.67,98.17,0.0,0.0,0.278,0.745,0.0,0.0,0.0,0.0,1.0,0.0,0.224,0.222,957,625,604,436,15,14,48.84
6100,Spring,100,2450.4,147.9,110.2,0.0,0.0,0.844,0.988,0.0,0.0,0.0,0.0,1.0,0.0,0.32,0.317,983,641,604,456,15,14,15.81
6200,Spring,200,2498.9,146.29,89.69,0.0,0.0,0.84,0.998,0.0,0.0,0.0,0.0,0.15,0.0,0.615,0.612,996,660,609,475,15,14,17.0
6300,Spring,300,2536.4,146.2,83.53,0.0,0.118,0.715,0.985,0.0,0.0,0.0,0.0,1.0,0.0,0.328,0.328,1031,678,619,493,15,14,20.02
6400,Spring,400,2566.4,144.0,101.43,0.0,0.0,0.966,0.998,0.0,0.0,0.0,0.0,0.6,0.0,0.594,0.607,1091,698,618,511,15,14,3.61
6500,Summer,0,2591.9,130.21,150.0,0.0,0.0,0.882,0.773,0.0,0.0,0.0,0.0,0.24,0.65,0.502,0.508,1115,778,624,514,15,14,17.69
6600,Summer,100,2671.6,85.64,146.94,0.01,0.0,0.997,0.864,0.0,0.0,0.0,0.0,0.0,0.3,0.704,0.711,1138,829,631,516,15,14,17.09
6700,Summer,200,2721.2,134.51,150.0,0.0,0.0,0.969,0.619,0.0,0.0,0.0,0.0,0.05,0.4,0.378,0.381,1163,878,639,557,15,14,26.93
6800,Summer,300,2780.2,98.6,143.88,0.0,0.0,0.806,0.354,0.0,0.0,0.0,0.0,0.0,1.0,0.211,0.211,1197,912,667,570,15,14,44.92
6900,Summer,400,2828.1,95.56,148.47,0.138,0.0,0.93,0.48,0.0,0.0,0.008,0.0,0.01,1.0,0.133,0.133,1219,937,687,581,15,14,35.17
7000,Autumn,0,2878.4,83.1,140.18,0.088,0.0,0.928,0.444,0.0,0.0,0.007,0.0,0.0,1.0,0.109,0.108,1245,976,703,590,15,14,36.67
7100,Autumn,100,2849.3,150.0,150.0,0.0,0.0,0.859,0.732,0.0,0.0,0.007,0.0,0.15,1.0,0.2,0.2,1278,1046,716,590,15,14,23.85
7200,Autumn,200,2794.2,144.08,150.0,0.0,0.0,0.6,0.371,0.0,0.0,0.006,0.0,0.99,1.0,0.165,0.163,1354,1110,733,590,15,14,44.55
7300,Autumn,300,2782.9,92.64,123.7,0.0,0.0,0.761,0.271,0.0,0.0,0.005,0.0,0.0,1.0,0.104,0.104,1374,1146,746,590,15,14,48.27
7400,Autumn,400,2770.4,110.19,120.55,0.0,0.0,0.696,0.221,0.0,0.0,0.005,0.0,0.0,1.0,0.072,0.071,1392,1169,764,590,15,14,52.0
7500,Winter,0,2756.7,107.3,130.79,0.183,0.0,0.73,0.247,0.0,0.0,0.004,0.0,0.01,1.0,0.059,0.059,1411,1187,780,590,15,14,49.04
7600,Winter,100,2681.7,99.64,80.42,0.0,0.172,0.733,0.234,0.0,0.0,0.004,0.0,0.0,1.0,0.054,0.054,1428,1195,797,590,15,14,50.57
7700,Winter,200,2607.8,93.62,65.57,0.0,0.146,0.792,0.295,0.0,0.0,0.004,0.0,0.0,1.0,0.063,0.063,1447,1207,816,592,15,14,47.0
7800,Winter,300,2536.8,150.0,75.07,0.0,0.0,0.666,0.538,0.0,0.0,0.003,0.0,0.34,1.0,0.071,0.072,1480,1230,829,595,15,14,28.07
7900,Winter,400,2449.8,150.0,106.53,0.0,0.0,0.49,0.331,0.0,0.0,0.003,0.0,1.0,1.0,0.126,0.124,1559,1272,829,595,15,14,48.27
8000,Spring,0,2366.2,148.3,77.03,0.0,0.0,0.498,0.351,0.0,0.0,0.003,0.0,1.0,1.0,0.086,0.086,1617,1288,833,598,15,14,43.42
8100,Spring,100,2385.1,150.0,150.0,0.0,0.0,0.956,0.832,0.0,0.0,0.002,0.0,1.0,0.46,0.129,0.108,1702,30,854,304,15,15,12.04
8200,Spring,200,2416.2,150.0,141.03,0.0,0.0,0.511,0.598,0.0,0.0,0.002,0.0,0.64,1.0,0.302,0.29,1756,67,893,317,15,15,39.32
8300,Spring,300,2455.7,150.0,116.76,0.0,0.0,0.758,0.966,0.0,0.0,0.002,0.0,1.0,0.19,0.225,0.223,1807,93,926,324,15,15,18.36
8400,Spring,400,2487.4,148.3,105.22,0.0,0.0,0.666,0.998,0.0,0.0,0.002,0.0,1.0,0.0,0.355,0.35,1875,112,933,333,15,15,24.84
8500,Summer,0,2527.1,100.57,114.29,0.0,0.0,0.494,0.944,0.0,0.0,0.002,0.0,1.0,0.0,0.206,0.204,1901,131,937,352,15,15,35.23
8600,Summer,100,2594.0,150.0,147.3,0.0,0.0,0.467,0.805,0.0,0.0,0.001,0.0,1.0,0.27,0.13,0.13,1935,182,940,382,15,15,34.99
8700,Summer,200,2677.2,150.0,96.53,0.0,0.176,0.381,0.834,0.0,0.0,0.001,0.0,1.0,0.01,0.109,0.108,1980,197,940,395,15,15,43.27
8800,Summer,300,2742.9,77.49,138.22,0.087,0.0,0.206,0.534,0.0,0.0,0.001,0.0,1.0,0.26,0.078,0.078,2005,240,940,421,15,15,54.38
8900,Summer,400,2810.0,134.58,89.08,0.0,0.049,0.187,0.687,0.0,0.0,0.002,0.0,1.0,0.0,0.059,0.059,2034,255,941,434,15,15,53.54
9000,Autumn,0,2866.5,118.34,106.28,0.0,0.063,0.259,0.742,0.0,0.0,0.002,0.0,1.0,0.01,0.053,0.053,2055,275,941,452,15,15,47.76
9100,Autumn,100,2845.5,150.0,91.73,0.0,0.0,0.328,0.832,0.0,0.0,0.002,0.0,1.0,0.0,0.066,0.066,2108,295,941,464,15,15,44.27
9200,Autumn,200,2820.0,150.0,89.87,0.0,0.041,0.424,0.921,0.0,0.0,0.002,0.0,1.0,0.0,0.075,0.075,2140,313,941,482,15,15,38.08
9300,Autumn,300,2776.8,150.0,99.24,0.0,0.0,0.595,0.997,0.0,0.0,0.001,0.0,1.0,0.0,0.148,0.149,2212,332,941,501,15,15,31.24
9400,Autumn,400,2756.4,105.9,86.15,0.0,0.047,0.204,0.702,0.0,0.0,0.001,0.0,1.0,0.0,0.096,0.096,2250,350,942,518,15,15,54.04
9500,Winter,0,2747.6,81.47,109.23,0.162,0.194,0.318,0.767,0.0,0.0,0.001,0.0,1.0,0.02,0.071,0.071,2272,368,942,535,15,15,44.65
9600,Winter,100,2668.4,128.3,97.59,0.0,0.242,0.41,0.844,0.0,0.0,0.001,0.0,1.0,0.01,0.079,0.079,2307,386,942,553,15,15,39.81
9700,Winter,200,2602.0,104.12,127.44,0.0,0.0,0.419,0.826,0.0,0.0,0.001,0.0,1.0,0.01,0.079,0.079,2330,409,943,566,15,15,38.33
9800,Winter,300,2543.1,73.84,93.12,0.154,0.0,0.255,0.744,0.0,0.0,0.001,0.0,1.0,0.0,0.063,0.063,2344,433,944,574,15,15,50.16
9900,Winter,400,2471.2,136.34,95.3,0.0,0.246,0.124,0.596,0.0,0.0,0.001,0.0,1.0,0.01,0.053,0.053,2382,457,944,589,15,15,58.18
10000,Spring,0,2414.0,136.4,85.39,0.0,0.043,0.347,0.823,0.0,0.0,0.001,0.0,1.0,0.0,0.053,0.053,2404,475,944,602,15,15,43.42
10100,Spring,100,2481.9,150.0,84.18,0.0,0.0,0.498,0.978,0.0,0.0,0.001,0.0,1.0,0.0,0.075,0.076,2426,496,944,611,15,15,33.24
10200,Spring,200,2529.1,140.3,90.65,0.0,0.0,0.477,0.96,0.0,0.0,0.001,0.0,1.0,0.0,0.109,0.109,2475,517,944,630,15,15,36.06
10300,Spring,300,2572.6,105.17,104.09,0.0,0.0,0.26,0.748,0.0,0.0,0.001,0.0,1.0,0.0,0.084,0.083,2501,535,944,648,15,15,48.83
10400,Spring,400,2619.9,25.74,95.99,0.514,0.0,0.134,0.689,0.0,0.0,0.041,0.0,1.0,0.0,0.05,0.049,2519,553,944,665,15,15,53.81
10500,Summer,0,2636.7,150.0,124.44,0.0,0.0,0.727,0.992,0.0,0.0,0.0,0.0,0.2,0.0,0.289,0.309,43,579,507,672,16,15,21.93
10600,Summer,100,2687.6,146.17,82.91,0.0,0.0,0.427,0.874,0.0,0.0,0.0,0.0,0.84,0.02,0.233,0.241,102,603,552,677,16,15,41.23
10700,Summer,200,2772.2,81.03,150.0,0.0,0.0,0.625,0.757,0.0,0.0,0.0,0.0,1.0,0.34,0.135,0.138,117,656,553,681,16,15,22.2
10800,Summer,300,2840.3,137.57,133.31,0.0,0.0,0.987,0.989,0.0,0.0,0.0,0.0,0.07,0.0,0.877,0.886,143,690,558,681,16,15,5.1
10900,Summer,400,2870.7,117.38,150.0,0.0,0.0,0.998,0.645,0.0,0.0,0.0,0.0,0.0,0.37,0.71,0.709,156,741,570,720,16,15,27.46
11000,Autumn,0,2899.5,105.26,118.6,0.0,0.0,0.879,0.422,0.0,0.0,0.0,0.0,0.0,1.0,0.331,0.331,176,786,588,756,16,15,40.31
11100,Autumn,100,2877.9,115.66,142.52,0.132,0.0,0.978,0.671,0.0,0.0,0.0,0.0,0.01,1.0,0.216,0.217,196,809,608,772,16,15,23.43
11200,Autumn,200,2837.8,116.03,150.0,0.0,0.0,0.999,0.666,0.0,0.0,0.0,0.0,0.0,0.99,0.233,0.234,215,860,620,813,16,15,25.81
11300,Autumn,300,2798.8,102.35,150.0,0.0,0.0,0.999,0.876,0.0,0.0,0.0,0.0,0.0,1.0,0.283,0.284,233,913,622,853,16,15,15.0
11400,Autumn,400,2780.3,106.63,150.0,0.085,0.0,0.992,0.9,0.0,0.0,0.0,0.0,0.01,1.0,0.376,0.379,253,949,629,866,16,15,13.15
11500,Winter,0,2752.5,106.06,143.23,0.0,0.0,0.999,0.833,0.0,0.0,0.0,0.0,0.0,0.62,0.494,0.494,272,991,635,892,16,15,17.89
11600,Winter,100,2666.3,150.0,101.02,0.0,0.0,0.861,0.997,0.0,0.0,0.0,0.0,0.24,0.0,0.673,0.668,325,1007,647,898,16,15,16.49
11700,Winter,200,2568.9,143.31,118.28,0.0,0.0,0.98,0.998,0.0,0.0,0.0,0.0,0.58,0.02,0.606,0.604,373,1024,686,913,16,15,8.54
11800,Winter,300,2507.8,78.85,102.28,0.0,0.0,0.993,0.999,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,402,1044,687,924,16,15,3.61
11900,Winter,400,2435.6,106.65,98.95,0.0,0.0,0.958,0.549,0.0,0.0,0.0,0.0,0.0,0.46,0.718,0.715,421,1066,696,948,16,15,34.48
12000,Spring,0,2374.5,83.17,69.17,0.0,0.0,0.751,0.294,0.0,0.0,0.0,0.0,0.0,1.0,0.296,0.295,449,1081,701,952,16,15,47.8
12100,Spring,100,2433.7,98.1,148.8,0.0,0.0,0.987,0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.569,0.457,471,10,721,476,16,16,12.65
12200,Spring,200,2433.5,138.42,150.0,0.0,0.0,0.917,0.619,0.0,0.0,0.0,0.0,0.04,0.69,0.431,0.386,500,93,722,512,16,16,29.61
